,DLinear,GRU-D,GRU,PatchTST,Persistence,Proposed + miss-dropout,Proposed (MAT),Seasonal-naive,Two-stage (KNN),Two-stage (SAITS),Proposed (variant B)
Aotizhongxin,83.8,77.1,77.4,83.7,94.6,81.6,79.4,93.2,81.4,77.8,79.4
Changping,65.2,62.5,61.1,64.0,74.4,63.1,64.6,74.4,63.6,63.5,64.6
Dingling,65.9,61.7,61.1,65.7,76.2,61.5,62.0,75.5,61.9,61.7,62.0
Dongsi,91.6,86.0,87.8,91.3,102.4,89.2,87.3,102.3,87.6,87.4,87.0
Guanyuan,82.1,76.0,76.8,81.7,89.9,76.7,77.8,90.1,76.4,77.6,77.8
Gucheng,85.1,81.8,81.1,86.1,94.6,80.5,80.9,95.4,81.1,80.4,80.9
Huairou,69.5,65.4,63.5,65.3,76.5,65.0,64.9,76.9,64.7,65.2,64.5
Nongzhanguan,86.8,79.0,80.8,84.8,96.6,81.3,81.4,96.6,80.5,80.5,81.2
Shunyi,92.1,84.9,86.0,87.5,101.0,83.8,85.4,101.5,84.2,86.4,85.5
Tiantan,78.0,72.1,73.5,78.3,85.3,72.4,72.0,85.3,73.0,73.5,71.8
Wanliu,77.9,73.4,73.8,76.1,87.3,76.3,74.3,88.4,74.3,74.6,74.2
Wanshouxigong,88.7,81.9,83.8,88.6,95.7,83.3,83.1,96.3,83.1,83.3,82.9
