baseline,horizon,seeds,n,DM_p_median,DM_p_min,DM_p_max,sig_all_seeds,RMSE_diff_mean,CI_lo_min,CI_hi_max
Persistence,6,3,4282,0.0002,0.0,0.0011,True,-6.3267,-9.5284,-3.0912
Persistence,24,3,4295,0.0,0.0,0.0,True,-13.216,-16.3226,-9.6736
Persistence,72,3,4294,0.0,0.0,0.0,True,-27.5923,-31.4901,-23.3047
Seasonal-naive,6,3,4282,0.0,0.0,0.0,True,-42.2567,-46.5862,-38.4012
Seasonal-naive,24,3,4295,0.0,0.0,0.0,True,-13.3497,-16.4724,-9.9034
Seasonal-naive,72,3,4294,0.0,0.0,0.0,True,-27.7561,-31.6234,-23.4719
GRU,6,3,4282,0.0,0.0,0.0001,True,-2.0104,-3.0114,-1.0996
GRU,24,3,4295,0.0582,0.0166,0.1963,False,0.8855,-0.1303,2.1922
GRU,72,3,4294,0.0429,0.0001,0.05,False,1.4928,0.2346,3.3198
GRU-D,6,3,4282,0.4831,0.0023,0.7014,False,-0.7193,-2.5414,0.6214
GRU-D,24,3,4295,0.0315,0.0003,0.9737,False,0.9192,-0.8098,2.6075
GRU-D,72,3,4294,0.0062,0.0018,0.0571,False,1.5963,0.2224,3.063
DLinear,6,3,4282,0.0003,0.0001,0.0167,True,-2.1209,-3.4419,-0.6021
DLinear,24,3,4295,0.0,0.0,0.0007,True,-3.8299,-5.7576,-1.6366
DLinear,72,3,4294,0.0001,0.0001,0.0025,True,-3.5711,-4.9445,-1.9279
PatchTST,6,3,4282,0.0,0.0,0.0,True,-9.0719,-11.3181,-6.858
PatchTST,24,3,4295,0.0002,0.0,0.0009,True,-2.9189,-4.9291,-1.1347
PatchTST,72,3,4294,0.1111,0.0,0.1125,False,-1.1705,-4.4832,2.3369
Two-stage (KNN),6,3,4282,0.0002,0.0001,0.0064,True,-0.2415,-1.3299,1.3717
Two-stage (KNN),24,3,4295,0.7565,0.3627,0.9583,False,-0.0441,-0.6036,0.6277
Two-stage (KNN),72,3,4294,0.6681,0.0,0.7818,False,-0.4135,-1.5126,0.4629
Two-stage (SAITS),6,3,4282,0.0,0.0,0.0002,True,-0.8468,-1.4319,-0.3865
Two-stage (SAITS),24,3,4295,0.0069,0.0022,0.7239,False,0.1752,-0.9531,1.7349
Two-stage (SAITS),72,3,4294,0.0,0.0,0.8688,False,-1.3473,-3.1079,0.446
Proposed (variant B),6,3,4282,0.1992,0.1559,0.3817,False,0.049,-0.0315,0.186
Proposed (variant B),24,3,4295,0.0123,0.008,0.1729,False,0.047,-0.1686,0.3683
Proposed (variant B),72,3,4294,0.1319,0.0,0.7557,False,-0.0877,-0.5197,0.3181
Proposed + miss-dropout,6,3,4282,0.0,0.0,0.0,True,-2.0131,-2.873,-1.063
Proposed + miss-dropout,24,3,4295,0.0436,0.0075,0.5281,False,0.4173,-0.6828,1.5439
Proposed + miss-dropout,72,3,4294,0.1706,0.0007,0.4172,False,0.7905,-0.1155,2.2604
