dataset,horizon,member,coef,intercept,alpha
Delhi,6,persistence,0.049970598757426724,-0.004533547647023323,100.0
Delhi,6,seasonal_naive,0.031015963498447943,-0.004533547647023323,100.0
Delhi,6,dlinear_s42,0.08737516643066433,-0.004533547647023323,100.0
Delhi,6,dlinear_s43,0.18591359197997476,-0.004533547647023323,100.0
Delhi,6,dlinear_s44,0.07201800960940288,-0.004533547647023323,100.0
Delhi,6,gru_d_s42,0.17502184335584278,-0.004533547647023323,100.0
Delhi,6,gru_d_s43,0.16609132963109544,-0.004533547647023323,100.0
Delhi,6,gru_d_s44,0.12791433833975802,-0.004533547647023323,100.0
Delhi,6,proposed_s42,0.00956520205028594,-0.004533547647023323,100.0
Delhi,6,proposed_s43,0.006084152915116226,-0.004533547647023323,100.0
Delhi,6,proposed_s44,0.02693071932512354,-0.004533547647023323,100.0
Delhi,6,variant_B_s42,0.00956526730521145,-0.004533547647023323,100.0
Delhi,6,variant_B_s43,0.0060841200391799875,-0.004533547647023323,100.0
Delhi,6,variant_B_s44,0.026930653358374024,-0.004533547647023323,100.0
Delhi,6,proposed_md_s42,0.027101254079377003,-0.004533547647023323,100.0
Delhi,6,proposed_md_s43,0.025102095926337494,-0.004533547647023323,100.0
Delhi,6,proposed_md_s44,0.031545952519377175,-0.004533547647023323,100.0
Delhi,24,persistence,0.13202251839004264,-0.23509201494870313,4.641588833612772
Delhi,24,seasonal_naive,0.13202251839004264,-0.23509201494870313,4.641588833612772
Delhi,24,dlinear_s42,0.8590178802939907,-0.23509201494870313,4.641588833612772
Delhi,24,dlinear_s43,-0.7399205710900401,-0.23509201494870313,4.641588833612772
Delhi,24,dlinear_s44,0.11193599792151292,-0.23509201494870313,4.641588833612772
Delhi,24,gru_d_s42,0.27246113785133463,-0.23509201494870313,4.641588833612772
Delhi,24,gru_d_s43,0.21340206396402667,-0.23509201494870313,4.641588833612772
Delhi,24,gru_d_s44,-0.5096096090219716,-0.23509201494870313,4.641588833612772
Delhi,24,proposed_s42,0.07893850117024503,-0.23509201494870313,4.641588833612772
Delhi,24,proposed_s43,0.04549300322770307,-0.23509201494870313,4.641588833612772
Delhi,24,proposed_s44,0.10623925027140768,-0.23509201494870313,4.641588833612772
Delhi,24,variant_B_s42,0.07893894111348863,-0.23509201494870313,4.641588833612772
Delhi,24,variant_B_s43,0.04549329805240407,-0.23509201494870313,4.641588833612772
Delhi,24,variant_B_s44,0.10624185320645443,-0.23509201494870313,4.641588833612772
Delhi,24,proposed_md_s42,-0.2319439902898348,-0.23509201494870313,4.641588833612772
Delhi,24,proposed_md_s43,0.043082669116194836,-0.23509201494870313,4.641588833612772
Delhi,24,proposed_md_s44,-0.124137661919394,-0.23509201494870313,4.641588833612772
Delhi,72,persistence,0.08094835411566909,-0.11394733374978308,215.44346900318823
Delhi,72,seasonal_naive,0.08094835411566909,-0.11394733374978308,215.44346900318823
Delhi,72,dlinear_s42,0.026004224993773684,-0.11394733374978308,215.44346900318823
Delhi,72,dlinear_s43,0.027184395248500855,-0.11394733374978308,215.44346900318823
Delhi,72,dlinear_s44,0.08736853765939559,-0.11394733374978308,215.44346900318823
Delhi,72,gru_d_s42,0.09007780623572852,-0.11394733374978308,215.44346900318823
Delhi,72,gru_d_s43,-0.010787712893945067,-0.11394733374978308,215.44346900318823
Delhi,72,gru_d_s44,-0.02630907172110351,-0.11394733374978308,215.44346900318823
Delhi,72,proposed_s42,0.0040235943212822735,-0.11394733374978308,215.44346900318823
Delhi,72,proposed_s43,0.10264083293028341,-0.11394733374978308,215.44346900318823
Delhi,72,proposed_s44,-0.03426680594381363,-0.11394733374978308,215.44346900318823
Delhi,72,variant_B_s42,0.0040235269028688295,-0.11394733374978308,215.44346900318823
Delhi,72,variant_B_s43,0.10264083840763445,-0.11394733374978308,215.44346900318823
Delhi,72,variant_B_s44,-0.03426674670017112,-0.11394733374978308,215.44346900318823
Delhi,72,proposed_md_s42,0.049089052777351434,-0.11394733374978308,215.44346900318823
Delhi,72,proposed_md_s43,0.03479113436197975,-0.11394733374978308,215.44346900318823
Delhi,72,proposed_md_s44,0.07277962061397715,-0.11394733374978308,215.44346900318823
