horizon,model,weight
6,persistence,0.0052181484432570775
6,seasonal_naive,0.021022413154431454
6,dlinear,0.3122177221292232
6,gru_d,0.6615417162730883
6,proposed,8.012931681025682e-19
6,variant_B,1.0469327228063154e-18
6,proposed_md,1.85144461610845e-17
24,persistence,0.10080369897496569
24,seasonal_naive,0.1008036989749651
24,dlinear,0.23485502456183144
24,gru_d,0.2542288383567207
24,proposed,0.0
24,variant_B,0.12077957552384855
24,proposed_md,0.18852916360766836
72,persistence,0.09459443990146262
72,seasonal_naive,0.09459443990146249
72,dlinear,0.2044608914839439
72,gru_d,0.1913043085165116
72,proposed,0.00013905798813768834
72,variant_B,0.17223228196909432
72,proposed_md,0.24267458023938743
