,Parameters,Param memory (MB),Peak memory (MB),Train time (min),Impute time (min),Latency (ms/window),Epochs
DLinear,9378.0,0.04,527.6,0.2,0.0,0.06,12.0
GRU-D,69294.0,0.26,528.0,18.7,0.0,0.53,11.0
GRU,205202.0,0.78,526.0,6.2,0.0,0.93,11.0
LSTM,271250.0,1.03,526.6,3.8,0.0,0.48,14.0
PatchTST,410258.0,1.57,696.5,46.2,0.0,3.37,13.0
Persistence,0,0.0,,0.0,0.0,0.02,-
Proposed (MAT),406418.0,1.55,589.0,30.2,0.0,1.8,11.0
SARIMA,0,0.0,,3.1,0.0,32.83,-
Seasonal-naive,0,0.0,,0.0,0.0,0.02,-
Two-stage (KNN),404626.0,1.54,610.4,24.4,2.3,1.5,11.0
Two-stage (MICE),404626.0,1.54,609.3,27.9,0.1,1.59,11.0
Two-stage (SAITS),404626.0,1.54,607.3,23.3,5.6,1.41,11.0
Proposed (variant B),406418.0,1.55,675.8,24.6,0.0,,11.0
