dataset,model,label,seeds,h6_RMSE_mean,h6_RMSE_std,h6_MAE_mean,h6_R2_mean,h6_n,h24_RMSE_mean,h24_RMSE_std,h24_MAE_mean,h24_R2_mean,h24_n,h72_RMSE_mean,h72_RMSE_std,h72_MAE_mean,h72_R2_mean,h72_n
Dhaka,hybrid8_masked_proposed,Hybrid8 + mask + MAT,3,68.56025950113933,0.6763708148185491,35.861976623535156,0.44060967721424243,4459,80.06225331624348,2.7567854932970652,47.02214558919271,0.3938995359972289,4569,82.6859842936198,0.4654613975987755,51.84257507324219,0.35475600516405653,4566
Dhaka,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,3,68.05757141113281,0.5453636897908577,34.84179433186849,0.44880082441820135,4459,76.9490737915039,0.8362306038473539,44.67324193318685,0.44071589865162597,4569,80.28453572591145,1.3496785768109556,49.00346374511719,0.3915387743652496,4566
Dhaka,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,3,69.04809824625652,1.247502038046609,37.41987864176432,0.43249077904168215,4459,79.25524139404297,1.1459252013092796,47.61453501383463,0.40663604770930534,4569,81.30774180094402,0.48671487352096093,49.90241622924805,0.37608455231748844,4566
Delhi,hybrid8_masked_proposed,Hybrid8 + mask + MAT,3,32.45236905415853,2.922468602715687,25.428001403808594,-0.7822622880396404,540,33.31841532389323,4.47857369883092,25.652843475341797,-0.9941215724347012,540,40.57276407877604,5.099156125718197,33.01735877990723,-1.9251328510949437,540
Delhi,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,3,32.45236905415853,2.922468602715687,25.428002039591473,-0.7822623204218152,540,33.318414052327476,4.478571963568566,25.652843475341797,-0.9941215043622847,540,40.57276407877604,5.099156326613518,33.01735750834147,-1.925132918584292,540
Delhi,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,3,26.860191980997723,1.8927030339761863,19.78018569946289,-0.21713935413169183,540,31.80502192179362,1.5568598862285583,25.01974932352702,-0.7891096114303936,540,34.36756388346354,0.5246763969016213,27.49692662556966,-1.0666594318085263,540
Beijing,hybrid8_masked_proposed,Hybrid8 + mask + MAT,3,49.476426442464195,0.2977073414292297,30.43671480814616,0.6336693334522475,4282,76.53708394368489,0.6202571231771078,52.58118565877279,0.2745647811121796,4295,87.05103556315105,0.6278237502746308,59.95481745402018,0.058275606709307315,4294
Beijing,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,3,49.398372650146484,0.29928293274015216,30.413139979044598,0.6348240986944812,4282,76.31120045979817,0.2987496325369658,52.59341176350912,0.2788767408198109,4295,86.98189290364583,0.8915402808420139,60.00475819905599,0.059721116411030395,4294
Beijing,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,3,50.95715586344401,0.7942449998795028,32.12172190348307,0.611333818915094,4282,76.75305938720703,0.895233009238237,52.74974695841471,0.2704135650994858,4295,85.92282104492188,0.8048659831206233,60.11422856648763,0.08249485899084112,4294
