,RMSE,MAE,R2,RMSE,MAE,R2,RMSE,MAE,R2,
,h6,h6,h6,h24,h24,h24,h72,h72,h72,seeds
Persistence,93.90,43.04,-0.049,99.02,47.04,0.074,105.13,56.08,-0.043,1
Seasonal-naive,90.59,41.90,0.023,93.67,44.58,0.171,102.18,53.30,0.015,1
SARIMA,79.96,39.89,0.239,83.87,49.16,0.336,86.74,53.85,0.290,1
LSTM,68.20 ± 0.34,35.21,0.446,78.05 ± 0.08,43.28,0.425,80.95 ± 0.79,46.77,0.382,3
GRU,67.69 ± 0.47,34.64,0.455,76.45 ± 0.20,41.80,0.448,79.58 ± 0.37,46.40,0.402,3
GRU-D,68.89 ± 0.31,35.99,0.435,76.69 ± 0.49,42.46,0.445,80.61 ± 0.24,47.18,0.387,3
DLinear,70.51 ± 0.72,36.64,0.408,80.90 ± 1.34,46.61,0.382,83.55 ± 0.40,50.83,0.341,3
PatchTST,74.61 ± 1.07,41.78,0.338,84.34 ± 1.14,50.67,0.328,87.51 ± 1.34,53.40,0.277,3
Two-stage (KNN),66.95 ± 0.58,34.26,0.467,76.42 ± 0.75,42.58,0.448,80.95 ± 1.52,48.53,0.381,3
Two-stage (MICE),67.39 ± 0.25,34.77,0.460,76.81 ± 0.68,42.68,0.443,80.66 ± 1.13,48.41,0.386,3
Two-stage (SAITS),67.22 ± 0.82,34.48,0.462,76.31 ± 0.40,43.32,0.450,81.43 ± 1.15,48.66,0.374,3
Proposed (MAT),67.03 ± 0.28,35.10,0.465,76.46 ± 0.51,43.58,0.448,81.54 ± 1.29,48.97,0.372,3
Proposed (variant B),67.04 ± 0.29,34.31,0.465,76.00 ± 0.51,43.07,0.454,80.26 ± 1.36,47.86,0.392,3
Proposed + miss-dropout,67.48 ± 0.88,36.36,0.458,79.69 ± 1.77,47.45,0.400,81.54 ± 0.91,49.29,0.372,3
