dataset,horizon,model,val_RMSE,test_RMSE
Dhaka,6,extra,39.93279020856141,65.62571986535976
Dhaka,6,hgb,39.95105976104957,66.60845458797601
Dhaka,24,extra,58.613484903419625,74.39036039968408
Dhaka,24,hgb,60.02405637288902,74.89639742043813
Dhaka,72,extra,68.61318968280888,78.67738217374969
Dhaka,72,hgb,69.40768985509783,79.43667244717174
Delhi,6,extra,48.130861211988226,19.694762499960934
Delhi,6,hgb,47.51587431398771,21.203559539616485
Delhi,24,extra,42.74289200493985,22.337289114899303
Delhi,24,hgb,44.75262162168917,25.48227706632617
Delhi,72,extra,44.48269043977719,27.004032147177412
Delhi,72,hgb,43.02963918975381,28.63310082740941
Beijing,6,extra,79.78774343951764,49.19950113745095
Beijing,6,hgb,79.07911787977834,50.50027556992227
Beijing,24,extra,102.14646986514035,75.24780846571178
Beijing,24,hgb,111.27464020231905,76.08257132902034
Beijing,72,extra,126.86651546336172,86.56047420676046
Beijing,72,hgb,125.32491060135771,88.77288527613159
